trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.9851119396030626}",20,10,-66.66776435570779,"{0: 5, 1: 1, 2: 3, 3: 0, 4: 1}",1
2,False,"{'a': 0.5, 'e': 0.9704455335485082}",35,1,-313.96248737367506,"{0: 17, 1: 3, 2: 8, 3: 0, 4: 6}",1
3,False,"{'a': 0.5, 'e': 0.9559974818331}",25,0,-71.35923213245121,"{0: 16, 1: 5, 2: 3, 3: 0, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.9417645335842487}",20,0,-175.3266925994266,"{0: 9, 1: 5, 2: 2, 3: 1, 4: 3}",0
5,False,"{'a': 0.5, 'e': 0.9277434863285529}",20,0,-142.56077927902425,"{0: 9, 1: 4, 2: 5, 3: 0, 4: 2}",0
6,False,"{'a': 0.5, 'e': 0.9139311852712282}",20,0,-100.10083216233193,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
7,False,"{'a': 0.5, 'e': 0.9003245225862656}",30,0,-177.55701739483322,"{0: 16, 1: 4, 2: 6, 3: 2, 4: 2}",0
8,False,"{'a': 0.5, 'e': 0.8869204367171575}",30,0,-122.00109405792843,"{0: 21, 1: 2, 2: 5, 3: 0, 4: 2}",0
9,False,"{'a': 0.5, 'e': 0.8737159116880344}",30,0,-202.25151726830654,"{0: 15, 1: 3, 2: 9, 3: 0, 4: 3}",0
10,False,"{'a': 0.5, 'e': 0.8607079764250578}",20,4,-16.440461951726775,"{0: 13, 1: 1, 2: 1, 3: 1, 4: 0}",1
11,False,"{'a': 0.5, 'e': 0.8478937040879159}",25,11,-33.06586479433705,"{0: 8, 1: 3, 2: 3, 3: 0, 4: 0}",1
12,False,"{'a': 0.5, 'e': 0.835270211411272}",20,0,-154.7320118215873,"{0: 13, 1: 0, 2: 3, 3: 1, 4: 3}",0
13,False,"{'a': 0.5, 'e': 0.8228346580560184}",30,0,-124.43924262139758,"{0: 13, 1: 7, 2: 10, 3: 0, 4: 0}",0
14,False,"{'a': 0.5, 'e': 0.8105842459701871}",20,0,-23.47287616480636,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",0
15,False,"{'a': 0.5, 'e': 0.7985162187593771}",20,0,-63.38448400814101,"{0: 15, 1: 2, 2: 1, 3: 1, 4: 1}",0
16,False,"{'a': 0.5, 'e': 0.7866278610665535}",30,0,-137.83373042023175,"{0: 17, 1: 3, 2: 8, 3: 1, 4: 1}",0
17,False,"{'a': 0.5, 'e': 0.774916497961081}",25,0,-58.1763956362913,"{0: 16, 1: 3, 2: 6, 3: 0, 4: 0}",0
18,False,"{'a': 0.5, 'e': 0.7633794943368531}",25,0,-33.421953514317146,"{0: 19, 1: 1, 2: 5, 3: 0, 4: 0}",0
19,False,"{'a': 0.5, 'e': 0.7520142543193826}",20,0,-156.83052079435708,"{0: 8, 1: 3, 2: 7, 3: 0, 4: 2}",0
20,False,"{'a': 0.5, 'e': 0.7408182206817179}",20,0,-70.92757888333111,"{0: 12, 1: 4, 2: 3, 3: 0, 4: 1}",0
21,False,"{'a': 0.5, 'e': 0.7297888742690568}",20,0,-122.73965152158587,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 3}",0
22,False,"{'a': 0.5, 'e': 0.7189237334319262}",25,0,-79.25666194037295,"{0: 16, 1: 3, 2: 4, 3: 2, 4: 0}",0
23,False,"{'a': 0.5, 'e': 0.7082203534678}",30,0,-241.1627916813059,"{0: 14, 1: 2, 2: 7, 3: 5, 4: 2}",0
24,False,"{'a': 0.5, 'e': 0.697676326071031}",20,0,-20.991644557564978,"{0: 17, 1: 0, 2: 2, 3: 1, 4: 0}",0
25,False,"{'a': 0.5, 'e': 0.6872892787909722}",35,15,-57.41709729421406,"{0: 16, 1: 0, 2: 2, 3: 1, 4: 1}",1
26,False,"{'a': 0.5, 'e': 0.6770568744981647}",25,9,-35.77672220587843,"{0: 11, 1: 2, 2: 2, 3: 1, 4: 0}",1
27,False,"{'a': 0.5, 'e': 0.6669768108584744}",30,18,2.8919705492225893,"{0: 10, 1: 1, 2: 1, 3: 0, 4: 0}",1
28,False,"{'a': 0.5, 'e': 0.6570468198150567}",20,5,-45.64768023363929,"{0: 11, 1: 0, 2: 2, 3: 2, 4: 0}",1
29,False,"{'a': 0.5, 'e': 0.6472646670780347}",20,0,-54.22962745350003,"{0: 13, 1: 3, 2: 2, 3: 2, 4: 0}",0
30,False,"{'a': 0.5, 'e': 0.6376281516217733}",20,9,6.964835751252237,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
31,False,"{'a': 0.5, 'e': 0.6281351051896409}",20,0,-72.03059908655973,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
32,False,"{'a': 0.5, 'e': 0.6187833918061408}",30,0,-39.91042244838218,"{0: 21, 1: 5, 2: 4, 3: 0, 4: 0}",0
33,False,"{'a': 0.5, 'e': 0.6095709072963093}",25,0,-2.8937655494194994,"{0: 22, 1: 0, 2: 3, 3: 0, 4: 0}",0
34,False,"{'a': 0.5, 'e': 0.6004955788122659}",25,0,-137.14049948912012,"{0: 17, 1: 1, 2: 3, 3: 2, 4: 2}",0
35,False,"{'a': 0.5, 'e': 0.5915553643668151}",30,0,-106.03093469662706,"{0: 23, 1: 2, 2: 2, 3: 1, 4: 2}",0
36,False,"{'a': 0.5, 'e': 0.5827482523739896}",20,0,-46.765587930828055,"{0: 14, 1: 3, 2: 1, 3: 2, 4: 0}",0
37,False,"{'a': 0.5, 'e': 0.5740722611964361}",20,0,-60.68520408652175,"{0: 12, 1: 2, 2: 6, 3: 0, 4: 0}",0
38,False,"{'a': 0.5, 'e': 0.5655254386995371}",20,9,-88.10920083783117,"{0: 6, 1: 2, 2: 1, 3: 0, 4: 2}",1
39,False,"{'a': 0.5, 'e': 0.5571058618121739}",20,0,-39.593723329920046,"{0: 16, 1: 1, 2: 1, 3: 2, 4: 0}",0
